TrialNumber	BlockNumber	StimulationCondition	Choice	Payout	PlayerReactionTime
1	1	4	High	1	948.3917
2	1	4	High	1	465.457
3	1	4	High	0	415.4982
4	1	4	High	0	1314.7559
5	1	4	Low	0	631.9862
6	1	4	High	1	681.9449
7	1	4	High	1	532.0687
8	1	4	Low	0	631.9862
9	1	4	Low	0	1031.6563
10	1	4	High	1	482.1099
11	1	4	High	1	1431.3264
12	1	4	High	1	765.2095
13	1	4	High	1	548.7216
14	1	4	High	0	515.4157
15	1	4	Low	1	815.1683
16	1	4	High	1	898.4329
17	1	4	High	1	582.0274
18	1	4	High	1	482.1099
19	1	4	High	1	681.9449
20	1	4	Low	1	731.9037
21	1	4	High	1	965.0446
22	1	4	High	0	448.8041
23	1	4	Low	0	1381.3676
24	1	4	Low	0	415.4982
25	1	4	High	1	598.6803
26	1	4	High	1	665.292
27	1	4	High	1	615.3333
28	1	4	Low	1	965.0446
29	1	4	Low	1	648.6391
30	1	4	High	1	731.9037
31	1	4	High	0	482.1099
32	1	4	Low	1	465.457
33	1	4	Low	0	515.4157
34	1	4	High	1	398.8453
35	1	4	High	0	515.4157
36	1	4	High	0	848.4741
37	1	4	Low	0	765.2095
38	1	4	High	0	631.9862
39	1	4	Low	0	532.0687
40	1	4	High	1	348.8865
41	2	5	n/a	0	NaN
41	2	5	n/a	0	NaN
42	2	5	High	1	415.4982
43	2	5	High	1	382.1924
44	2	5	High	1	448.8041
45	2	5	High	1	498.7628
46	2	5	High	1	615.3333
47	2	5	High	0	498.7628
48	2	5	High	1	648.6391
49	2	5	High	1	1231.4913
50	2	5	High	1	831.8212
51	2	5	High	0	1231.4913
52	2	5	Low	1	1364.7147
53	2	5	n/a	0	NaN
53	2	5	n/a	0	NaN
54	2	5	High	1	1114.9209
55	2	5	Low	0	1081.615
56	2	5	High	1	498.7628
57	2	5	High	1	382.1924
58	2	5	High	0	548.7216
59	2	5	Low	1	1131.5738
60	2	5	High	1	1015.0033
61	2	5	High	0	648.6391
62	2	5	Low	0	648.6391
63	2	5	Low	0	482.1099
64	2	5	High	0	665.292
65	2	5	High	0	731.9037
66	2	5	High	1	1364.7147
67	2	5	High	0	698.5979
68	2	5	Low	1	398.8453
69	2	5	Low	0	398.8453
70	2	5	High	1	515.4157
71	2	5	Low	1	398.8453
72	2	5	n/a	0	NaN
72	2	5	n/a	0	NaN
73	2	5	Low	1	482.1099
74	2	5	n/a	0	NaN
74	2	5	n/a	0	NaN
75	2	5	Low	0	415.4982
76	2	5	High	0	382.1924
77	2	5	High	0	1348.0617
78	2	5	High	0	1114.9209
79	2	5	Low	1	1114.9209
80	2	5	n/a	0	NaN
80	2	5	n/a	0	NaN
81	3	6	Low	1	998.3504
82	3	6	Low	1	598.6803
83	3	6	Low	1	548.7216
84	3	6	Low	0	548.7216
85	3	6	High	1	515.4157
86	3	6	High	1	432.1511
87	3	6	High	1	1131.5738
88	3	6	High	0	698.5979
89	3	6	Low	0	665.292
90	3	6	High	1	365.5395
91	3	6	High	0	382.1924
92	3	6	Low	0	382.1924
93	3	6	High	0	432.1511
94	3	6	High	1	798.5154
95	3	6	High	0	715.2508
96	3	6	n/a	0	NaN
96	3	6	n/a	0	NaN
